amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
404-5962266-6699533,404-5962266-6699533,2024-04-30T18:13:12+00:00,2024-05-01T04:46:25+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Black), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cove",H2502_FBA,B0BKPLGCR6,Shipped,1,INR,3819,,,,,,,,NEW DELHI,DELHI,110021,IN,,FALSE,,,,FALSE
408-0381932-0252322,408-0381932-0252322,2024-04-30T16:06:57+00:00,2024-04-30T21:41:50+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",H4002_FBA,B0BN33W9RJ,Shipped,1,INR,3633,,40,,,,,40,GHAZIABAD,UTTAR PRADESH,201014,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
407-1822850-2552325,407-1822850-2552325,2024-04-30T15:50:58+00:00,2024-04-30T21:44:07+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro Rain & Dust Cover for Backpack, Waterproof Dustproof Rain Cover, Elastic Adjustable for School, College, Office,Hiking Bags (15L-24L,Black)",RC001_FBA,B0CBVW1TFK,Shipped,1,INR,289,,,,,,,,KOTTAYAM,KERALA,686630,IN,,FALSE,,,,FALSE
171-5376317-7045902,171-5376317-7045902,2024-04-30T11:06:50+00:00,2024-04-30T17:10:27+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2504_FBA,B0BJXNT8V6,Shipped,1,INR,3819,,40,,,,,40,Roorkee,Uttarakhand,247667,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
406-2469386-3326717,406-2469386-3326717,2024-04-30T08:29:16+00:00,2024-04-30T18:25:28+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Grey & Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain",ltpdesign02_FBA,B07BQ3ZWRB,Shipped,1,INR,3633,,,,,,,,PUNE,MAHARASHTRA,411036,IN,,FALSE,,,,FALSE
406-2577877-0072329,,2024-04-30T07:25:03+00:00,2024-05-06T07:19:42+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,"CarryPro MOJO V2.0 (Black), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made In India (Black)",V2MJ2,B0CTWX9KGT,Shipped,1,INR,2399,365.95,,,,,,,Mumbai,Maharashtra,400097,IN,,FALSE,,,Easy Ship,FALSE
408-5916796-9134768,,2024-04-30T05:58:32+00:00,2024-05-15T06:13:57+00:00,Shipped - Returned to Seller,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Olive Green),CP006,B0D1TF1ZCC,Shipped,1,INR,0,,,,,,,,AHMEDABAD,GUJARAT,380013,IN,,FALSE,,,Easy Ship,FALSE
405-6060108-6536347,,2024-04-30T04:21:46+00:00,2024-04-30T07:01:18+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Black),CP002,B0D1TJS1CS,,0,INR,321.19,57.81,,,,,,,Mumbai,MAHARASHTRA,400072,IN,,FALSE,,,Easy Ship,FALSE
405-2318140-8965955,405-2318140-8965955,2024-04-30T04:10:23+00:00,2024-04-30T10:43:22+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2504_FBA,B0BJXNT8V6,Shipped,1,INR,3819,,,,,,,,NEW DELHI,DELHI,110009,IN,,FALSE,,,,FALSE
403-4601533-4466733,403-4601533-4466733,2024-04-30T02:19:24+00:00,2024-05-01T14:58:52+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro Rain & Dust Cover for Backpack, Waterproof Dustproof Rain Cover, Elastic Adjustable for School, College, Office,Hiking Bags (15L-24L,Black)",RC001_FBA,B0CBVW1TFK,Shipped,1,INR,289,,,,,,,,GURUGRAM,HARYANA,122022,IN,,FALSE,,,,FALSE
407-9658033-8595512,,2024-04-29T18:55:45+00:00,2024-05-09T08:24:08+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Black),CP002,B0D1TJS1CS,Shipped,1,INR,399,60.86,,,,,,,PANDHARPUR,MAHARASHTRA,413304,IN,,FALSE,,,Easy Ship,FALSE
404-3876719-3111559,,2024-04-29T18:44:28+00:00,2024-05-06T15:35:39+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,"CarryPro Mojo 20 Ltrs (Mist Grey), Everyday Laptop Backpack (Fits Laptop Up To 15.6 Inch), Roll-Top, Water Resistant Fabric, Ultra Lightweight Backpack For Women&Men,365 Days Warranty, Made In India",MOJ08,B0CDL6V63S,Shipped,1,INR,2199,335.44,,,,,,,HYDERABAD,TELANGANA,500084,IN,,FALSE,,,Easy Ship,FALSE
171-3247963-0995525,171-3247963-0995525,2024-04-29T18:15:07+00:00,2024-04-30T04:38:27+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Includ",H25005_FBA,B0CLJ667DZ,Shipped,1,INR,3998,,,,,,,,BENGALURU,KARNATAKA,560043,IN,,FALSE,,,,FALSE
171-2972271-3360332,171-2972271-3360332,2024-04-29T18:15:07+00:00,2024-04-30T04:38:27+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Black), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cove",H2502_FBA,B0BKPLGCR6,Shipped,1,INR,3999,,,,,,,,BENGALURU,KARNATAKA,560043,IN,,FALSE,,,,FALSE
407-2928760-7155552,407-2928760-7155552,2024-04-29T17:40:42+00:00,2024-04-29T23:33:51+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro Rain & Dust Cover for Backpack, Waterproof Dustproof Rain Cover, Elastic Adjustable for School, College, Office,Hiking Bags (15L-24L,Black)",RC001_FBA,B0CBVW1TFK,Shipped,2,INR,598,,,,,,,,PUNE,MAHARASHTRA,411014,IN,,FALSE,,,,FALSE
408-8810066-2485924,408-8810066-2485924,2024-04-29T16:33:03+00:00,2024-04-30T04:52:33+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Grey & Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain",ltpdesign02_FBA,B07BQ3ZWRB,Shipped,1,INR,3799,,40,,,,,40,IMPHAL,MANIPUR,795002,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
405-9809665-1964346,405-9809665-1964346,2024-04-29T12:54:18+00:00,2024-04-29T18:06:26+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Rust Orange), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2501_FBA,B0BJXTDBTR,Shipped,1,INR,3999,,,,,,,,BENGALURU,KARNATAKA,560037,IN,,FALSE,,,,FALSE
